filename,true_id,pred_top1,hit_top1,preds_top5,hit_top5,distance_top1,name,size,proof,abv,spirit_type,brand_id,popularity,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
14147.jpg,14147,14147,True,"[14147, 164, 3867, 17223, 159]",True,0.0,Blanton's,375,93.0,46.5,Bourbon,10.0,,31.99,53.88,84.99,2814,164,693,1957,135
17328.jpg,17328,17328,True,"[17328, 2969, 1584, 859, 4905]",True,0.0,Elmer T Lee Commemorative Edition,750,93.0,46.5,Bourbon,700.0,1960.0,49.99,558.36,2044.82,1241,646,566,29,308
2128.jpg,2128,2128,True,"[2128, 3208, 11035, 1142, 17925]",True,0.0,Balvenie 14 Year Caribbean Cask,750,86.0,43.0,Scotch,337.0,200.0,83.95,100.48,99.62,848,111,218,519,453
39943.jpg,39943,39943,True,"[39943, 41054, 42342, 5196, 2147]",True,0.0,Heaven Hill Grain to Glass-Rye,750,123.2,61.6,Whiskey,430.0,100051.0,99.0,106.43,128.73,969,102,228,639,408
48189.jpg,48189,48189,True,"[48189, 27160, 18075, 1462, 4245]",True,0.0,Larceny Barrel Proof C924,750,125.1,62.55,Bourbon,587.0,100087.0,64.99,92.46,67.33,1169,130,260,779,328
17894.jpg,17894,17894,True,"[17894, 20789, 1165, 18185, 20519]",True,0.0,Castle & Key Small Batch Bourbon,750,98.0,49.0,Bourbon,2983.0,600.0,49.99,68.72,54.99,1874,185,487,1202,210
2316.jpg,2316,2316,True,"[2316, 19658, 27160, 48189, 18778]",True,0.0,Old Elk Wheated Bourbon,750,92.0,46.0,Bourbon,252.0,200.0,67.2,67.83,69.72,1207,180,297,730,320
17089.jpg,17089,17089,True,"[17089, 17356, 18768, 18767, 21106]",True,0.0,Woodford Reserve Master's Collection Batch Proof 128.3,750,128.0,64.0,Bourbon,2004.0,1960.0,130.0,187.36,350.89,1973,779,603,591,195
17248.jpg,17248,17248,True,"[17248, 17247, 17246, 17319, 17450]",True,0.0,Benchmark Full Proof,750,125.0,62.5,Bourbon,3330.0,100037.0,21.47,33.47,25.99,4135,411,915,2809,90
2706.jpg,2706,2706,True,"[2706, 48300, 13089, 144, 20691]",True,0.0,Elijah Craig Barrel Proof Batch B519,750,125.0,62.5,Bourbon,2.0,1200.0,62.48,101.64,89.99,3597,794,1614,1189,104
19503.jpg,19503,19503,True,"[19503, 19879, 4742, 803, 263]",True,0.0,Ben Holladay Soft Red Wheat Bottled in Bond,750,100.0,50.0,Bourbon,3647.0,100050.0,59.97,77.74,59.99,2709,285,633,1791,140
18184.jpg,18184,18184,True,"[18184, 18185, 17358, 17318, 3860]",True,0.0,Jack Daniel's Bonded,700,100.0,50.0,Whiskey,231.0,,33.97,47.5,32.64,2598,104,650,1844,150
18185.jpg,18185,18185,True,"[18185, 18184, 17358, 17318, 3860]",True,0.0,Jack Daniel’s Triple Mash,700,100.0,50.0,Whiskey,231.0,,36.48,46.87,59.99,1617,81,403,1133,254
17261.jpg,17261,17261,True,"[17261, 726, 3181, 15345, 1924]",True,0.0,Wild Turkey Master's Keep One,750,101.0,50.5,Bourbon,191.0,200.0,177.49,254.64,374.05,806,206,288,312,472
19502.jpg,19502,19502,True,"[19502, 4662, 803, 2311, 2803]",True,0.0,Ben Holladay Soft Red Wheat Rickhouse Proof,750,120.1,60.05,Bourbon,3647.0,100061.0,74.99,89.03,80.79,1719,331,333,1055,236
567.jpg,567,567,True,"[567, 3660, 1807, 27454, 17356]",True,0.0,Woodford Reserve Rye,750,90.4,45.2,Rye,2004.0,200.0,36.34,51.17,43.92,967,59,213,695,410
17063.jpg,17063,17063,True,"[17063, 16485, 4709, 13347, 19720]",True,0.0,Yellowstone Limited Edition 2021,750,101.0,50.5,Bourbon,272.0,600.0,99.99,118.49,173.99,1050,211,395,444,371
413.jpg,413,413,True,"[413, 3152, 4662, 5208, 147]",True,0.0,Evan Williams Black Label,750,86.0,43.0,Bourbon,167.0,10000.0,13.98,18.38,16.66,929,99,478,352,430
21466.jpg,21466,21466,True,"[21466, 21024, 12112, 19151, 19547]",True,0.0,James E. Pepper Barrel Proof Bourbon,750,105.4,52.7,Bourbon,550.0,100045.0,64.99,80.06,72.48,1979,257,437,1285,193
1805.jpg,1805,1805,True,"[1805, 263, 269, 2769, 3793]",True,0.0,Sazerac Rye Whiskey,750,,45.0,Rye,705.0,100054.0,28.73,46.77,51.89,13399,776,3080,9543,18
1636.jpg,1636,1636,True,"[1636, 16602, 1074, 2969, 3793]",True,0.0,Russell’s Reserve Private Barrel Selection Single Barrel,750,110.0,55.0,Bourbon,496.0,100074.0,56.99,104.53,63.83,3006,442,538,2026,129
5120.jpg,5120,5120,True,"[5120, 4739, 1580, 4575, 21257]",True,0.0,"E.H. Taylor, Jr. Single Barrel",750,,50.0,Bourbon,210.0,100206.0,73.76,166.45,135.14,20267,4889,5785,9593,11
18768.jpg,18768,18768,True,"[18768, 18767, 17089, 17153, 17356]",True,0.0,Maker’s Mark 2022 Wood Finishing Series BRT-02,750,109.0,54.5,Bourbon,333.0,200.0,62.47,109.33,59.99,1667,76,412,1179,244
14150.jpg,14150,14150,True,"[14150, 2879, 3574, 1643, 150]",True,0.0,1792 Aged Twelve Years,750,96.6,48.3,Bourbon,42.0,100064.0,51.46,96.99,57.64,4503,902,1154,2447,83
149.jpg,149,149,True,"[149, 2336, 4783, 3660, 17089]",True,0.0,Woodford Reserve Double Oaked,375,90.4,45.2,Bourbon,2004.0,,29.39,49.68,31.03,777,54,226,497,484
16960.jpg,16960,16960,True,"[16960, 3249, 12902, 2193, 18184]",True,0.0,Basil Hayden Toast,750,,40.0,Bourbon,330.0,600.0,51.63,71.49,58.94,3823,350,558,2915,98
4002.jpg,4002,4002,True,"[4002, 4576, 17328, 4476, 3317]",True,0.0,Michter's 10 Year Single Barrel Bourbon 2020 Bottling,750,,47.2,Bourbon,405.0,100049.0,189.99,346.85,437.24,5190,1972,1519,1699,70
2329.jpg,2329,2329,True,"[2329, 1142, 987, 17611, 11035]",True,0.0,Buffalo Trace White Dog Mash 1,375,125.0,62.5,Whiskey,245.0,40.0,16.65,20.66,19.44,1448,79,289,1080,276
